"","Study","EC50","CI_L","CI_U"
"1","El Sahly et al. 2021",2.80398441944506,2.07449287967684,3.79000029429623
"2","Sadoff et al. 2022",3.01867752912297,1.83446213055074,4.96734921537803
"3","Voysey et al. 2021",2.03516957240108,0.352397764994774,11.7535228649609
"4","Al Kaabi et al. 2021",3.34035573715862,0.181866906702216,61.3524288343357
"5","Al Kaabi et al. 2021",1.24639045830995,0.225141450413938,6.90005848194502
"6","Ella et al. 2021",1.80337322418251,0.430248996325845,7.5587741365361
