study_id,study,ClinicalTrials,vaccine,vaccine_type,dose_unit,standard_dosage,location,vacc_schedule,against_strain,assay,conv,conv_lower,conv_upper,conv_N,dosage_tested,dose_frac,age,age_group,measured_day,schedule_type,N,nab_measurement,nab,nab_lower,nab_upper,derived_from,logTiter_vaccine,logTiter_conv,sd_vaccine,sd_conv,se_vaccine,se_conv,log_ratio_to_conv,ratio_to_conv,mean_sd_vaccine,se_sd_vaccine,log_ratio_lower,log_ratio_upper
22,Goepfert et al. 2021,NCT04537208,CoV2 preS dTM with adjuvant AS03,Protein subunit,ug,1.3 + AS03,US,Day 0/21,Live SARS-CoV-2 virus,MNT 50,72.4,17.6,297.5,93,"2.6, AS03",2,18-49,adult,21,prime,24,GMT/CI,75.1,50.5,112,"Results, Figure 4A",1.875639937,1.859738566,0.432318249,3.020957988,0.088246593,0.313258751,0.015901371,1.037292818,0.42757011,0.062636272,-0.157871614,0.188886784
22,Goepfert et al. 2021,NCT04537208,CoV2 preS dTM with adjuvant AS03,Protein subunit,ug,1.3 + AS03,US,Day 0/21,Live SARS-CoV-2 virus,MNT 50,72.4,17.6,297.5,93,"2.6, AS03",2,>=50,elderly,21,prime,10,GMT/CI,52.3,25.3,108,"Results, Figure 4A",1.718501689,1.859738566,0.508467816,3.020957988,0.160791641,0.313258751,-0.141236877,0.722375691,0.492496159,0.11771973,-0.460196721,0.171519327
24,Formica et al. 2021,NCT04412538,NVX-CoV2373,Protein subunit,ug,5 + M1,"Australia, US",Day 0/21,Live SARS-CoV-2 virus,MNT 50,453,89.5,2287.6,26,5 + M1,1,18-59,adult,35,prime,23,GMT/CI,2200.8,1342.6,3607.5,Table 3,3.342580577,2.656098202,0.52516765,1.830908387,0.109505025,0.359070677,0.686482375,4.858278146,0.522629084,0.078888751,0.470392809,0.900611404
24,Formica et al. 2021,NCT04412538,NVX-CoV2373,Protein subunit,ug,5 + M1,"Australia, US",Day 0/21,Live SARS-CoV-2 virus,MNT 50,406,114.1,1142,31,5 + M1,1,60-84,elderly,35,prime,26,GMT/CI,980.5,559.8,1717.1,Table 3,2.991447598,2.608526034,0.633166448,1.420888437,0.124174157,0.255199097,0.382921564,2.415024631,0.625434732,0.090245562,0.140121435,0.614964117
24,Formica et al. 2021,NCT04412538,NVX-CoV2373,Protein subunit,ug,5 + M1,"Australia, US",Day 0/21,Live SARS-CoV-2 virus,MNT 50,453,89.5,2287.6,26,25 + M1,5,18-59,adult,35,prime,23,GMT/CI,1783.1,1191.9,2667.7,Table 3,3.2511757,2.656098202,0.428073437,1.830908387,0.089259482,0.359070677,0.595077498,3.936203091,0.42347415,0.064361564,0.413437432,0.775864877
24,Formica et al. 2021,NCT04412538,NVX-CoV2373,Protein subunit,ug,5 + M1,"Australia, US",Day 0/21,Live SARS-CoV-2 virus,MNT 50,406,114.1,1142,31,25 + M1,5,60-84,elderly,35,prime,26,GMT/CI,1034.2,639.8,1671.6,Table 3,3.014604533,2.608526034,0.542535841,1.420888437,0.106400032,0.255199097,0.4060785,2.54729064,0.538504278,0.075967096,0.198676319,0.611406548
26,Shu et al. 2021,ChiCTR2100045107,V-01,Protein subunit,ug,10,"Gaozhou, China",Day 0/21,Live SARS-CoV-2 virus,MNT 50,53.6,31.3,91.7,38,10,1,18-59,adult,35,prime,119,GMT/CI,161.9,133.3,196.7,Supplementary Table 4,2.209246849,1.72916479,0.4702273,0.734107795,0.043105666,0.11908801,0.480082059,3.020522388,0.46884107,0.03073927,0.393186738,0.564174256
26,Shu et al. 2021,ChiCTR2100045107,V-01,Protein subunit,ug,10,"Gaozhou, China",Day 0/21,Live SARS-CoV-2 virus,MNT 50,53.6,31.3,91.7,38,10,1,>=60,elderly,35,prime,117,GMT/CI,111.6,89.6,139.1,Supplementary Table 5,2.047664195,1.72916479,0.527088699,0.734107795,0.048729367,0.11908801,0.318499405,2.082089552,0.526431655,0.034256395,0.226033661,0.409574494
26,Shu et al. 2021,ChiCTR2100045107,V-01,Protein subunit,ug,10,"Gaozhou, China",Day 0/21,Live SARS-CoV-2 virus,MNT 50,53.6,31.3,91.7,38,25,2.5,18-59,adult,35,prime,120,GMT/CI,149.3,123.9,179.9,Supplementary Table 4,2.174059808,1.72916479,0.452597281,0.734107795,0.04131629,0.11908801,0.444895018,2.785447761,0.45196662,0.029398361,0.366741533,0.525158993
26,Shu et al. 2021,ChiCTR2100045107,V-01,Protein subunit,ug,10,"Gaozhou, China",Day 0/21,Live SARS-CoV-2 virus,MNT 50,53.6,31.3,91.7,38,25,2.5,>=60,elderly,49,prime,116,GMT/CI,118.1,96.3,144.8,Supplementary Table 5,2.072249898,1.72916479,0.486704257,0.734107795,0.045189356,0.11908801,0.343085108,2.203358209,0.484928159,0.032593696,0.252818011,0.433396392
