study_id,study,ClinicalTrials,vaccine,vaccine_type,dose_unit,standard_dosage,location,vacc_schedule,against_strain,assay,conv,conv_lower,conv_upper,conv_N,dosage_tested,dose_frac,age,age_group,measured_day,schedule_type,N,nab_measurement,nab,nab_lower,nab_upper,derived_from,logTiter_vaccine,logTiter_conv,sd_vaccine,sd_conv,se_vaccine,se_conv,log_ratio_to_conv,ratio_to_conv,mean_sd_vaccine,se_sd_vaccine,log_ratio_lower,log_ratio_upper
7,Xia et al. 2020,ChiCTR2000031809,WIBP COVID-19 vaccine/Inactivated SARS-CoV-2 vaccine (vero cell),Inactivated vaccine,ug,5,"Henan Province, China",Day 0/28/56 (booster),Live SARS-CoV-2 virus,PRNT 50,215.8,99.5,458.1,50,5,1,18-59,adult,42,prime,24,GMT/CI,129,68,243,eTable 5,2.11058971,2.33405144,0.69122771,1.196195966,0.141096266,0.169167656,-0.22346173,0.597775718,0.681293622,0.09856079,-0.489232557,0.040672493
7,Xia et al. 2020,ChiCTR2000031809,WIBP COVID-19 vaccine/Inactivated SARS-CoV-2 vaccine (vero cell),Inactivated vaccine,ug,5,"Henan Province, China",Day 0/28/56 (booster),Live SARS-CoV-2 virus,PRNT 50,215.8,99.5,458.1,50,10,2,18-59,adult,42,prime,24,GMT/CI,101,59,172,eTable 5,2.004321374,2.33405144,0.580724572,1.196195966,0.118539907,0.169167656,-0.329730067,0.46802595,0.578931047,0.085195871,-0.564832613,-0.096794497
9,Zhang et al. 2020 (Phase 1),NCT04352608,CoronaVac,Inactivated vaccine,ug,3,"Jiangsu province, China",Day 0/14,Live SARS-CoV-2 virus,MNT 50,163.7,128.5,208.6,117,3,1,18-59,adult,28,prime,24,GMT/CI,5.6,3.6,8.7,Appendix 6 Table 6-1,0.748188027,2.214048679,0.478921175,0.580598178,0.097759375,0.053676321,-1.465860652,0.034208919,0.474858201,0.071499316,-1.657056647,-1.279293962
9,Zhang et al. 2020 (Phase 1),NCT04352608,CoronaVac,Inactivated vaccine,ug,3,"Jiangsu province, China",Day 0/14,Live SARS-CoV-2 virus,MNT 50,163.7,128.5,208.6,117,3,1,18-59,adult,28,prime,120,GMT/CI,27.6,22.7,33.5,Appendix 6 Table 6-1,1.440909082,2.214048679,0.472323936,0.580598178,0.043117079,0.053676321,-0.773139597,0.1686011,0.470863637,0.02982662,-0.858861141,-0.688448284
9,Zhang et al. 2020 (Phase 1),NCT04352608,CoronaVac,Inactivated vaccine,ug,3,"Jiangsu province, China",Day 0/14,Live SARS-CoV-2 virus,MNT 50,163.7,128.5,208.6,117,6,2,18-59,adult,28,prime,120,GMT/CI,34.5,28.5,41.8,Appendix 6 Table 6-1,1.537819095,2.214048679,0.464813631,0.580598178,0.042431485,0.053676321,-0.676229584,0.210751374,0.463018429,0.029952718,-0.759071559,-0.595279523
9,Zhang et al. 2020 (Phase 1),NCT04352608,CoronaVac,Inactivated vaccine,ug,3,"Jiangsu province, China",Day 0/14,Live SARS-CoV-2 virus,MNT 50,163.7,128.5,208.6,117,6,2,18-59,adult,42,prime,24,GMT/CI,15.2,11.2,20.7,Appendix 6 Table 6-1,1.181843588,2.214048679,0.333370958,0.580598178,0.068049062,0.053676321,-1.032205091,0.092852779,0.330667798,0.047315761,-1.16657398,-0.899262175
9,Zhang et al. 2020 (Phase 1),NCT04352608,CoronaVac,Inactivated vaccine,ug,3,"Jiangsu province, China",Day 0/28,Live SARS-CoV-2 virus,MNT 50,163.7,128.5,208.6,117,3,1,18-59,adult,56,prime,24,GMT/CI,19,13.2,27.4,Appendix 6 Table 6-1,1.278753601,2.214048679,0.396388217,0.580598178,0.080912406,0.053676321,-0.935295078,0.116065974,0.390897675,0.057724283,-1.099357499,-0.780028369
9,Zhang et al. 2020 (Phase 1),NCT04352608,CoronaVac,Inactivated vaccine,ug,3,"Jiangsu province, China",Day 0/28,Live SARS-CoV-2 virus,MNT 50,163.7,128.5,208.6,117,6,2,18-59,adult,56,prime,24,GMT/CI,29.6,17.9,48.9,Appendix 6 Table 6-1,1.471291711,2.214048679,0.54545616,0.580598178,0.111340772,0.053676321,-0.742756968,0.180818571,0.537438985,0.079363998,-0.973165374,-0.520145785
9,Zhang et al. 2020 (Phase 1),NCT04352608,CoronaVac,Inactivated vaccine,ug,3,"Jiangsu province, China",Day 0/28,Live SARS-CoV-2 virus,MNT 50,163.7,128.5,208.6,117,3,1,18-59,adult,56,prime,117,GMT/CI,44.1,37.2,52.2,Appendix 6 Table 6-1,1.644438589,2.214048679,0.40597651,0.580598178,0.037532542,0.053676321,-0.56961009,0.269395235,0.405759305,0.026868619,-0.6420832,-0.4973795
9,Zhang et al. 2020 (Phase 1),NCT04352608,CoronaVac,Inactivated vaccine,ug,3,"Jiangsu province, China",Day 0/28,Live SARS-CoV-2 virus,MNT 50,163.7,128.5,208.6,117,6,2,18-59,adult,56,prime,118,GMT/CI,65.4,56.4,75.9,Appendix 6 Table 6-1,1.815577748,2.214048679,0.357370713,0.580598178,0.032898641,0.053676321,-0.398470931,0.399511301,0.356375163,0.023180694,-0.463704556,-0.333444514
