,study_id,study,ClinicalTrials,vaccine,vaccine_type,dose_unit,standard_dosage,location,vacc_schedule,against_strain,assay,conv,conv_lower,conv_upper,conv_N,dosage_tested,dose_frac,age,age_group,measured_day,schedule_type,N,nab_measurement,nab,nab_lower,nab_upper,derived_from,logTiter_vaccine,logTiter_conv,sd_vaccine,sd_conv,se_vaccine,se_conv,log_ratio_to_conv,ratio_to_conv,mean_sd_vaccine,se_sd_vaccine,log_ratio_lower,log_ratio_upper
10,45,Momin et al. 2021,CTRI/2020/07/026352,ZyCoV-D (Needle-Free),DNA based vaccine,mg,2,"Gujarat, India",Day 0/28/56,Live SARS-CoV-2 virus,PRNT 50,49.5,36.7,67.3,73,1,0.5,18-55,adult,56,prime,10,GMT/CI,12.99,5.6,30.16,"Table 4, Supplemental Table 5",1.113609151,1.694605199,0.589896527,0.573993582,0.186541661,0.067180867,-0.580996048,0.262424242,0.572012566,0.135659111,-0.94917198,-0.223410867
13,45,Momin et al. 2021,CTRI/2020/07/026352,ZyCoV-D (Needle),DNA based vaccine,mg,2,"Gujarat, India",Day 0/28/56,Live SARS-CoV-2 virus,PRNT 50,49.5,36.7,67.3,73,1,0.5,18-55,adult,84,prime,10,GMT/CI,8.52,4.4,16.49,"Table 4, Supplemental Table 5",0.930439595,1.694605199,0.462860628,0.573993582,0.146369382,0.067180867,-0.764165604,0.172121212,0.455823165,0.108298377,-1.051250871,-0.481169293
15,45,Momin et al. 2021,CTRI/2020/07/026352,ZyCoV-D (Needle),DNA based vaccine,mg,2,"Gujarat, India",Day 0/28/56,Live SARS-CoV-2 virus,PRNT 50,49.5,36.7,67.3,73,2,1,18-55,adult,84,prime,10,GMT/CI,14.13,5.57,35.82,"Table 4, Supplemental Table 5",1.150142162,1.694605199,0.652034537,0.573993582,0.206191425,0.067180867,-0.544463037,0.285454545,0.63848229,0.149771596,-0.965765317,-0.139375923
16,45,Momin et al. 2021,CTRI/2020/07/026352,ZyCoV-D (Needle-Free),DNA based vaccine,mg,2,"Gujarat, India",Day 0/28/56,Live SARS-CoV-2 virus,PRNT 50,49.5,36.7,67.3,73,2,1,18-55,adult,84,prime,10,GMT/CI,39.17,15.43,99.47,"Table 4, Supplemental Table 5",1.592953572,1.694605199,0.652886259,0.573993582,0.206460763,0.067180867,-0.101651627,0.791313131,0.629942417,0.151747481,-0.516774734,0.29255515
23,51,Kraynyak et al. 2022,NCT04336410,INO-4800,DNA based vaccine,mg,1,U.S,Week 0/4,Pseudo SARS-CoV-2 virus,PsVNA ID50,922,10,13249,38,0.5,0.5,>=18,adult,42,prime,40,GMT/CI,14.94,7.9,28.25,Supplementary Table 1,1.174350597,2.964730921,0.892845478,4.909803373,0.141171266,0.796475281,-1.790380324,0.016203905,0.886477367,0.102402383,-2.074149713,-1.515411263
25,51,Kraynyak et al. 2022,NCT04336410,INO-4800,DNA based vaccine,mg,1,U.S,Week 0/4,Pseudo SARS-CoV-2 virus,PsVNA ID50,922,10,13249,38,2,2,>=18,adult,42,prime,36,GMT/CI,54.15,31.46,93.21,Supplementary Table 1,1.733598461,2.964730921,0.721995596,4.909803373,0.120332599,0.796475281,-1.23113246,0.05873102,0.714411262,0.084017636,-1.470633471,-1.001463233
27,51,Kraynyak et al. 2022,NCT04336410,INO-4800,DNA based vaccine,mg,1,U.S,Week 0/4,Pseudo SARS-CoV-2 virus,PsVNA ID50,922,10,13249,38,1,1,>=18,adult,56,prime,35,GMT/CI,14.79,6.93,31.55,Supplementary Table 1,1.169968174,2.964730921,0.993457892,4.909803373,0.167925033,0.796475281,-1.794762747,0.016041215,0.985403769,0.121070782,-2.12057273,-1.462076474
