,study_id,study,ClinicalTrials,vaccine,vaccine_type,dose_unit,standard_dosage,location,vacc_schedule,against_strain,assay,conv,conv_lower,conv_upper,conv_N,dosage_tested,dose_frac,age,age_group,measured_day,schedule_type,N,nab_measurement,nab,nab_lower,nab_upper,derived_from,logTiter_vaccine,logTiter_conv,sd_vaccine,sd_conv,se_vaccine,se_conv,log_ratio_to_conv,ratio_to_conv,mean_sd_vaccine,se_sd_vaccine,log_ratio_lower,log_ratio_upper
13,19,Ward et al. 2021,NCT04450004,CoVLP,Virus-like particle,Virus-like particle,3.75 ¦Ìg + AS03,"Quebec, Canada",Day 0/21,Pseudo virus,PsVNA IC50,199.8,108.5,364.3,35,3.75 + AS03,1,18-55,adult,42,prime,18,GMT/CI,2118.3,1228.7,3651.9,Table S12,3.325987466,2.300595484,0.512009907,0.793885738,0.120681892,0.134191182,1.025391982,10.6021021,0.505870345,0.087642881,0.78083302,1.2643428
14,19,Ward et al. 2021,NCT04450004,CoVLP,Virus-like particle,Virus-like particle,3.75 ¦Ìg + AS03,"Quebec, Canada",Day 0/21,Pseudo virus,PsVNA IC50,199.8,108.5,364.3,35,7.5 + AS03,2,18-55,adult,42,prime,20,GMT/CI,1883.8,1123.7,3158.1,Table S12,3.275034793,2.300595484,0.511985978,0.793885738,0.114483545,0.134191182,0.974439309,9.428428428,0.504241886,0.082787309,0.75026734,1.202418412
15,19,Ward et al. 2021,NCT04450004,CoVLP,Virus-like particle,Virus-like particle,3.75 ¦Ìg + AS03,"Quebec, Canada",Day 0/21,Pseudo virus,PsVNA IC50,199.8,108.5,364.3,35,15 + AS03,4,18-55,adult,42,prime,20,GMT/CI,1200.9,716.3,2013.2,Table S12,3.079506845,2.300595484,0.512004772,0.793885738,0.114487748,0.134191182,0.778911361,6.010510511,0.502965798,0.083888967,0.555608996,1.005423845
16,19,Ward et al. 2021,NCT04450004,CoVLP,Virus-like particle,Virus-like particle,3.75 ¦Ìg + AS03,"Quebec, Canada",Day 0/21,Live SARS-CoV-2 virus,PRNT 50,58.3,35.1,96.8,35,3.75 + AS03,1,18-55,adult,42,prime,19,GMT/CI,811.3,496,1327,Table S13,2.909181476,1.765668555,0.475241463,0.664907363,0.109027869,0.112389857,1.143512921,13.91595197,0.4674039,0.078052494,0.926653182,1.359497168
17,19,Ward et al. 2021,NCT04450004,CoVLP,Virus-like particle,Virus-like particle,3.75 ¦Ìg + AS03,"Quebec, Canada",Day 0/21,Live SARS-CoV-2 virus,PRNT 50,58.3,35.1,96.8,35,7.5 + AS03,2,18-55,adult,42,prime,20,GMT/CI,1325,962.6,1824,Table S13,3.122215878,1.765668555,0.316676256,0.664907363,0.070810963,0.112389857,1.356547324,22.72727273,0.313011848,0.051991455,1.218576617,1.494330361
18,19,Ward et al. 2021,NCT04450004,CoVLP,Virus-like particle,Virus-like particle,3.75 ¦Ìg + AS03,"Quebec, Canada",Day 0/21,Live SARS-CoV-2 virus,PRNT 50,58.3,35.1,96.8,35,15 + AS03,4,18-55,adult,42,prime,20,GMT/CI,937,592.4,1482,Table S13,2.971739591,1.765668555,0.454324695,0.664907363,0.10159009,0.112389857,1.206071036,16.07204117,0.447153642,0.073372285,1.004667765,1.406262689
