,study_id,study,ClinicalTrials,vaccine,vaccine_type,dose_unit,standard_dosage,location,vacc_schedule,against_strain,assay,conv,conv_lower,conv_upper,conv_N,dosage_tested,dose_frac,age,age_group,measured_day,schedule_type,N,nab_measurement,nab,nab_lower,nab_upper,derived_from,logTiter_vaccine,logTiter_conv,sd_vaccine,sd_conv,se_vaccine,se_conv,log_ratio_to_conv,ratio_to_conv,mean_sd_vaccine,se_sd_vaccine,log_ratio_lower,log_ratio_upper
10,11,Sadoff et al. 2021,NCT04436276,Ad26.COV2.S,Non-replicating viral vector,10^10 viral particle,5,Belgium and the United States,Day 0,Live SARS-CoV-2 virus,MNT 50,522,299,891,32,5,1,>=65,elderly,28,prime,75,GMT/CI,277,193,307,"Figure 2B, Results",2.442479769,2.717670503,0.445342665,0.684315598,0.051423741,0.12097105,-0.275190734,0.530651341,0.444165528,0.0373082,-0.377400175,-0.174046869
17,11,Sadoff et al. 2021,NCT04436276,Ad26.COV2.S,Non-replicating viral vector,10^10 viral particle,5,Belgium and the United States,Day 0/56,Live SARS-CoV-2 virus,MNT 50,522,299,891,32,5,1,18-55,adult,56,prime,75,GMT/CI,288,221,376,"Figure 2B, Results",2.459392488,2.717670503,0.509884765,0.684315598,0.058876421,0.12097105,-0.258278015,0.551724138,0.50770052,0.041053356,-0.374302902,-0.142122586
18,11,Sadoff et al. 2021,NCT04436276,Ad26.COV2.S,Non-replicating viral vector,10^10 viral particle,5,Belgium and the United States,Day 0/56,Live SARS-CoV-2 virus,MNT 50,522,299,891,32,10,2,18-55,adult,56,prime,75,GMT/CI,488,334,714,"Figure 2B, Results",2.688419822,2.717670503,0.728945391,0.684315598,0.084171364,0.12097105,-0.029250681,0.9348659,0.724192917,0.060482633,-0.194022041,0.134544759
19,11,Sadoff et al. 2021,NCT04436276,Ad26.COV2.S,Non-replicating viral vector,10^10 viral particle,5,Belgium and the United States,Day 0,Live SARS-CoV-2 virus,MNT 50,522,299,891,32,5,1,18-55,adult,70,prime,75,GMT/CI,321,227,438,"Figure 2B, Results",2.506505032,2.717670503,0.630626119,0.684315598,0.072818432,0.12097105,-0.211165471,0.614942529,0.625905023,0.051331658,-0.346898535,-0.073292548
20,11,Sadoff et al. 2021,NCT04436276,Ad26.COV2.S,Non-replicating viral vector,10^10 viral particle,5,Belgium and the United States,Day 0,Live SARS-CoV-2 virus,MNT 50,522,299,891,32,10,2,18-55,adult,70,prime,75,GMT/CI,388,290,509,"Figure 2B, Results",2.588831726,2.717670503,0.539763112,0.684315598,0.062326476,0.12097105,-0.128838777,0.743295019,0.538935618,0.044793058,-0.25296979,-0.008185444
