"","Method","Mean","SD","Estimate_EC50","L_CI","U_CI","Estimate_k","L_CI_k","U_CI_k"
"1","Logistic_Raw","CensoredEstimate","byStudy_cens",0.169846863266545,0.118811117240614,0.242805198970244,2.45372033276584,1.91333205287062,3.14673214322389
"2","Logistic_Raw","CensoredEstimate","MelbStudy_cens",0.1801729091288,0.128183161029655,0.253249154749936,3.92092939465653,2.27489078193977,6.75798919224274
"3","Logistic_Raw","CensoredEstimate","Pooled_cens",0.184726817073903,0.132906037114788,0.256752798345671,3.02053422770565,2.18677834194723,4.17217732850653
"4","Logistic_Raw","Reported","byStudy_cens",0.185622024139356,0.128455995311891,0.268228320226966,2.50177369338875,1.92831671916223,3.24576951013067
"5","Logistic_Raw","Reported","MelbStudy_cens",0.196400664495187,0.138337085208669,0.278834998987919,4.12835728487651,2.24948384243492,7.57655314080614
"6","Logistic_Raw","Reported","Pooled_cens",0.201088532847589,0.142906156073609,0.282959105148469,3.09770274348263,2.19286346879912,4.37590503171395
